idx	v_val	v_vec	p_in	p_out
68	0.12916826179086133	"[1.45508466e-16 1.37700988e-18 1.99388229e-17 8.21735950e-01
 3.77979206e-17 2.59185694e-17 1.78264050e-01]"	[0.00000000e+00 5.23990229e-01 1.01846751e-16]	[0.4981837 0.        0.       ]
69	0.4393200926313977	"[4.89878165e-01 1.29591054e-16 3.08153572e-16 1.43524562e-16
 5.10121835e-01 2.68019449e-16 6.47010702e-16]"	[0.4981837 0.        0.       ]	[0.00000000e+00 5.23989898e-01 1.01848553e-16]
70	0.12916827141966894	"[0.00000000e+00 1.75006387e-17 1.51383387e-16 8.21734724e-01
 1.96064073e-17 0.00000000e+00 1.78265276e-01]"	[0.00000000e+00 5.23989898e-01 1.01848553e-16]	[0.49818452 0.         0.        ]
71	0.43932005518407014	"[4.89911437e-01 2.94561083e-17 4.86334340e-16 1.48232249e-16
 5.10088563e-01 1.84626488e-16 3.28602340e-16]"	[0.49818452 0.         0.        ]	[1.18983864e-16 5.23990326e-01 1.57358101e-16]
72	0.12916825905510332	"[1.53842290e-16 1.46046299e-16 8.13781596e-17 8.21739543e-01
 4.58103125e-17 3.19318194e-17 1.78260456e-01]"	[1.18983864e-16 5.23990326e-01 1.57358101e-16]	[4.98184356e-01 8.43482803e-16 4.25886903e-17]
73	0.4393200623511025	"[4.89886345e-01 0.00000000e+00 6.55887513e-17 2.96496222e-17
 5.10113655e-01 0.00000000e+00 2.77663957e-16]"	[4.98184356e-01 8.43482803e-16 4.25886903e-17]	[0.         0.52399056 0.        ]
74	0.12916825220979086	"[4.35478165e-17 4.93628849e-17 2.77780068e-17 8.21737471e-01
 2.84049181e-17 2.38640953e-17 1.78262529e-01]"	[0.         0.52399056 0.        ]	[4.98183569e-01 0.00000000e+00 2.17171748e-15]
75	0.4393200986801026	"[4.89870995e-01 3.15847804e-16 4.22581788e-16 1.19986788e-16
 5.10129005e-01 2.46093757e-16 6.66959785e-16]"	[4.98183569e-01 0.00000000e+00 2.17171748e-15]	[0.00000000e+00 5.23990323e-01 2.03697472e-16]
76	0.12916825909206547	"[1.78535770e-19 0.00000000e+00 0.00000000e+00 8.21745058e-01
 0.00000000e+00 0.00000000e+00 1.78254942e-01]"	[0.00000000e+00 5.23990323e-01 2.03697472e-16]	[0.49818457 0.         0.        ]
77	0.4393200523679612	"[4.89845678e-01 2.62795700e-16 1.37189104e-16 9.22105899e-17
 5.10154322e-01 7.82023962e-20 1.65464473e-16]"	[0.49818457 0.         0.        ]	[6.70361160e-17 5.23989198e-01 0.00000000e+00]
78	0.12916829186372786	"[5.53245416e-17 6.44362213e-21 0.00000000e+00 8.21731783e-01
 1.00234923e-20 1.99650412e-17 1.78268217e-01]"	[6.70361160e-17 5.23989198e-01 0.00000000e+00]	[4.98184365e-01 7.66705964e-16 0.00000000e+00]
79	0.4393200618796266	"[4.89863220e-01 4.95386564e-16 3.38032705e-16 1.31564265e-17
 5.10136780e-01 1.50389076e-16 7.74590518e-16]"	[4.98184365e-01 7.66705964e-16 0.00000000e+00]	[0.00000000e+00 5.23989590e-01 1.52773628e-16]
80	0.12916828049344617	"[0.         0.         0.         0.82172654 0.         0.
 0.17827346]"	[0.00000000e+00 5.23989590e-01 1.52773628e-16]	[4.98182799e-01 4.34365220e-16 0.00000000e+00]
81	0.43932013473328485	"[0.48982389 0.         0.         0.         0.51017611 0.
 0.        ]"	[4.98182799e-01 4.34365220e-16 0.00000000e+00]	[8.33567212e-17 5.23988375e-01 0.00000000e+00]
82	0.12916831577673238	"[1.51485416e-16 9.49683408e-17 0.00000000e+00 8.21736321e-01
 7.35773017e-17 1.56373965e-17 1.78263679e-01]"	[8.33567212e-17 5.23988375e-01 0.00000000e+00]	[4.98183896e-01 0.00000000e+00 1.08755329e-15]
83	0.43932008452778193	"[4.89800343e-01 0.00000000e+00 9.91660443e-17 0.00000000e+00
 5.10199657e-01 6.89481862e-17 0.00000000e+00]"	[4.98183896e-01 0.00000000e+00 1.08755329e-15]	[4.69265355e-17 5.23988626e-01 1.52778358e-16]
84	0.12916830846220018	"[5.22046529e-19 6.76091130e-19 7.06909839e-19 8.21736585e-01
 3.96164616e-19 6.73199561e-19 1.78263415e-01]"	[4.69265355e-17 5.23988626e-01 1.52778358e-16]	[4.98184429e-01 0.00000000e+00 1.81259642e-16]
85	0.4393200793673026	"[4.89545464e-01 1.10067342e-15 1.35926560e-15 3.61367749e-16
 5.10454536e-01 7.62900375e-16 1.93266885e-15]"	[4.98184429e-01 0.00000000e+00 1.81259642e-16]	[0.         0.52398458 0.        ]
