idx	v_val	p_in	v_vec	time
91	0.12256009887758355	[0.01, 0.3999999999999998, 0.01]	"[9.29420822e-17 0.00000000e+00 0.00000000e+00 3.40061861e-01
 6.59938139e-01 4.96419509e-18 1.65754914e-16]"	6.245167970657349
92	0.12302770851768866	[0.01, 0.3999999999999998, 0.02]	"[2.29995419e-17 3.65705042e-17 1.85423238e-17 3.35877698e-01
 6.64122302e-01 3.20671506e-17 1.69368447e-16]"	6.9827880859375
93	0.12265220364787788	[0.01, 0.4099999999999998, 0.0]	"[6.28261800e-17 9.71194606e-17 3.69818336e-17 3.49307369e-01
 6.50692631e-01 9.82254531e-17 1.63478763e-16]"	9.65242052078247
94	0.1231256605177184	[0.01, 0.4099999999999998, 0.01]	"[1.65001058e-20 1.94123550e-17 0.00000000e+00 3.44918806e-01
 6.55081194e-01 2.90524608e-21 0.00000000e+00]"	7.1419594287872314
95	0.12352357214933093	[0.01, 0.4099999999999998, 0.02]	"[1.53438090e-17 0.00000000e+00 1.45787621e-17 3.40431307e-01
 6.59568693e-01 1.96865798e-17 1.19020628e-16]"	9.423327684402466
96	0.12321299507490473	[0.01, 0.4199999999999998, 0.0]	"[4.87777072e-17 5.95832858e-18 7.23083983e-18 3.53989401e-01
 6.46010599e-01 2.77888892e-17 3.29617772e-17]"	9.279107809066772
97	0.12361703664617263	[0.01, 0.4199999999999998, 0.01]	"[1.43566649e-17 0.00000000e+00 1.61909461e-17 3.49450257e-01
 6.50549743e-01 8.36931175e-18 0.00000000e+00]"	6.909488916397095
98	0.12394536669412615	[0.01, 0.4199999999999998, 0.02]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.44867851e-01
 6.55132149e-01 0.00000000e+00 4.06413383e-16]"	6.356895923614502
99	0.12369976272192783	[0.01, 0.4299999999999998, 0.0]	"[5.90947905e-17 0.00000000e+00 0.00000000e+00 3.58555314e-01
 6.41444686e-01 8.86320867e-17 3.84697801e-17]"	9.75885558128357
100	0.12403450468376445	[0.01, 0.4299999999999998, 0.01]	"[3.26100783e-17 2.69610492e-17 0.00000000e+00 3.53784941e-01
 6.46215059e-01 1.00466383e-16 8.76584160e-17]"	7.5765838623046875
101	0.12429335366578939	[0.01, 0.4299999999999998, 0.02]	"[2.05229047e-17 8.66696110e-17 0.00000000e+00 3.48901028e-01
 6.51098972e-01 3.56531365e-18 9.53637434e-17]"	10.077701330184937
102	0.12411278265863464	[0.01, 0.43999999999999984, 0.0]	"[9.33338314e-21 1.95615342e-17 1.19415578e-18 3.62878012e-01
 6.37121988e-01 0.00000000e+00 0.00000000e+00]"	9.67015528678894
103	0.12437832755133826	[0.01, 0.43999999999999984, 0.01]	"[8.87013536e-17 0.00000000e+00 0.00000000e+00 3.57983848e-01
 6.42016152e-01 0.00000000e+00 3.56231949e-16]"	7.100154399871826
104	0.12456778525586307	[0.01, 0.43999999999999984, 0.02]	"[2.15506883e-17 7.58911909e-17 3.47110319e-17 3.52814120e-01
 6.47185880e-01 9.94988109e-17 0.00000000e+00]"	7.101487874984741
105	0.12445231552027194	[0.01, 0.44999999999999984, 0.0]	"[0.00000000e+00 0.00000000e+00 4.02648119e-20 3.67084562e-01
 6.32915438e-01 2.85476835e-19 9.12198518e-20]"	9.253105640411377
106	0.12464875241424327	[0.01, 0.44999999999999984, 0.01]	"[0.00000000e+00 4.06451802e-17 8.51566469e-22 3.61871733e-01
 6.38128267e-01 0.00000000e+00 1.41212457e-16]"	7.603472471237183
107	0.12476889640217945	[0.01, 0.44999999999999984, 0.02]	"[0.00000000e+00 4.34714991e-17 0.00000000e+00 3.56572708e-01
 6.43427292e-01 1.56032658e-17 0.00000000e+00]"	6.95701003074646
108	0.12471860841983937	[0.01, 0.45999999999999985, 0.0]	"[7.22316555e-17 0.00000000e+00 0.00000000e+00 3.71075011e-01
 6.28924989e-01 0.00000000e+00 0.00000000e+00]"	8.94969630241394
109	0.12484601511745452	[0.01, 0.45999999999999985, 0.01]	"[7.92548610e-17 2.04333350e-17 2.00696747e-22 3.65638176e-01
 6.34361824e-01 8.21824385e-19 5.03484044e-17]"	8.422724962234497
110	0.1248969099209585	[0.01, 0.45999999999999985, 0.02]	"[0.00000000e+00 0.00000000e+00 2.71227866e-17 3.60230770e-01
 6.39769230e-01 3.89769396e-17 0.00000000e+00]"	7.863177537918091
111	0.12491189562275526	[0.01, 0.46999999999999986, 0.0]	"[8.61656472e-17 1.57360354e-17 1.32363601e-17 3.74765433e-01
 6.25234567e-01 3.23185509e-17 7.42614477e-17]"	8.638511657714844
112	0.12497033721833159	[0.01, 0.46999999999999986, 0.01]	"[3.50708520e-18 6.88881188e-17 4.26466457e-17 3.69269053e-01
 6.30730947e-01 7.46288605e-19 8.07399019e-18]"	9.64561414718628
113	0.12495203533736862	[0.01, 0.46999999999999986, 0.02]	"[1.97506061e-17 1.76983537e-18 0.00000000e+00 3.63593699e-01
 6.36406301e-01 7.76705288e-18 0.00000000e+00]"	7.111688852310181
114	0.12503239655201026	[0.01, 0.47999999999999976, 0.0]	"[4.83182302e-18 5.15820629e-17 5.68081421e-17 3.78532971e-01
 6.21467029e-01 1.59357286e-16 1.28841445e-16]"	9.153075695037842
